ID,CHARACTER
eventscene_acpufreeze_01,ACPUFreeze
eventscene_aesigthediver_01,Aegisthediver
eventscene_alonesurvivor_01,AloneSurvivor
eventscene_arcanearchive_01,ArcaneArchive
eventscene_beautyfullshot_03,BeautyFullShot
eventscene_bluewaterisland_01,BluewaterIsland
eventscene_boomsday_01,BOOMSDAY
eventscene_bowwowparadise_01,BowWowParadise
eventscene_brandnewyear_02,BrandNewYear
eventscene_bunnyx777_01,BunnyX777
eventscene_ce_03_01,ReZeroCollab
eventscene_ce005_02,Evangelion2ndCollab1
eventtitle_neverland_02,LudmillaOnsenNEVERLAND
